@relation cleaned_data

@attribute Instance_number numeric
@attribute price numeric
@attribute retail_price numeric
@attribute units_sold numeric
@attribute uses_ad_boosts numeric
@attribute rating numeric
@attribute rating_count numeric
@attribute rating_five_count numeric
@attribute rating_four_count numeric
@attribute rating_three_count numeric
@attribute rating_two_count numeric
@attribute rating_one_count numeric
@attribute badges_count numeric
@attribute badge_local_product numeric
@attribute badge_product_quality numeric
@attribute badge_fast_shipping numeric
@attribute product_variation_size_id numeric
@attribute product_variation_inventory numeric
@attribute shipping_option_price numeric
@attribute shipping_is_express numeric
@attribute countries_shipped_to numeric
@attribute inventory_total numeric
@attribute merchant_rating_count numeric
@attribute merchant_rating numeric
@attribute merchant_has_profile_picture numeric
@attribute pink numeric
@attribute green numeric
@attribute black numeric
@attribute yellow numeric
@attribute brown numeric
@attribute grey numeric
@attribute red numeric
@attribute beige numeric
@attribute orange numeric
@attribute gray numeric
@attribute white numeric
@attribute blue numeric
@attribute purple numeric
@attribute multicolor numeric

@data
74,13.2,13,1000,0,4.25,215,136,32,23,13,11,0,0,0,0,2,50,3,0,40,50,15076,4.084969,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,24.2,19,20000,1,3.66,1103,461,218,170,94,160,0,0,0,0,2,50,6,0,38,50,4107,4.096908,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
76,12.1,10,2,0,2,1,0,0,0,1,0,0,0,0,0,2,50,3,0,19,50,21307,3.999061,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
77,19.8,27,5000,1,4.03,1058,539,240,132,61,86,0,0,0,0,2,50,5,0,41,50,12348,3.794947,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
78,6.413,5,100,0,4.36,22,13,5,3,1,0,0,0,0,0,1,3,1,0,24,50,17471,3.952836,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
79,8.8,14,1000,0,3.98,217,122,29,30,12,24,0,0,0,0,8,28,3,0,25,50,7676,4.039474,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
80,8.8,7,50,1,3.43,7,3,0,2,1,1,0,0,0,0,2,50,3,0,15,50,249,3.97992,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
81,4.4,6,50000,0,4,10927,5479,2331,1605,665,847,0,0,0,0,2,50,1,0,30,50,13665,4.094694,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
82,4.048,4,100,0,3.71,42,18,7,9,3,5,0,0,0,0,1,1,1,0,38,50,105015,3.789601,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83,6.6,6,100,1,4.27,15,8,5,1,0,1,0,0,0,0,1,3,2,0,43,50,2988,3.896921,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
84,3.091,33,50,0,3.64,14,5,2,5,1,1,0,0,0,0,1,1,1,0,43,50,42919,4.105967,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
85,9.9,8,5000,1,3.89,740,361,137,117,53,72,0,0,0,0,8,2,3,0,26,50,24771,4.047959,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
86,4.235,69,1000,1,3.23,185,51,33,42,26,33,0,0,0,0,2,1,1,0,25,50,703,3.960171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,4.4,4,1000,0,3.51,550,215,99,86,53,97,0,0,0,0,1,50,1,0,32,50,13884,4.222846,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
88,1.98,2,1000,1,3.68,76,35,10,13,8,10,0,0,0,0,1,4,1,0,20,50,4230,4.041371,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
89,4.4,4,5000,0,3.39,783,268,129,155,102,129,0,0,0,0,2,7,1,0,48,50,32168,3.884544,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90,15.4,92,100,1,4.54,13,10,2,0,0,1,0,0,0,0,1,50,3,0,36,50,54,4.185185,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
91,5.5,5,5000,1,4.1,478,281,77,51,23,46,0,0,0,0,2,1,2,0,35,50,14095,4.089677,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
92,8.8,7,1000,0,3.61,233,91,57,28,17,40,0,0,0,0,1,1,2,0,26,50,32858,3.885538,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
93,9.9,21,100,0,3.51,47,17,10,6,8,6,0,0,0,0,3,7,3,0,34,50,9827,4.11387,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
